Plane_ID,Paper,Airplane_type,Weight,Flight_Time,Distance,Location
1,Printer,Jet,5,2.18,311,Outdoor
2,Printer,Jet,5,1.13,253,Outdoor
3,Printer,Jet,6,2.21,201,Outdoor
4,Printer,Jet,5,0.91,177,Outdoor
5,Printer,Jet,5,2.13,213,Outdoor
6,Printer,Jet,5,2,254,Outdoor
7,Printer,Jet,5,2.26,350,Outdoor
8,Printer,Jet,5,1.18,179,Outdoor
9,Printer,Jet,5,1.38,161,Outdoor
10,Printer,Jet,5,2.36,365,Outdoor
,,,,,,
1,Construction,Classic,6,1.46,103,Outdoor
2,Construction,Classic,5,2.11,115,Outdoor
3,Construction,Classic,5,1.61,137,Outdoor
4,Construction,Classic,4,2.23,89,Outdoor
5,Construction,Classic,4,2.23,109,Outdoor
6,Construction,Classic,4,2.46,88,Outdoor
7,Construction,Classic,5,2.21,87,Outdoor
8,Construction,Classic,5,1.85,52,Outdoor
9,Construction,Classic,6,1.83,104,Outdoor
10,Construction,Classic,4,2.31,76,Outdoor
,,,,,,
1,Construction,Jet,5,1.46,113,Outdoor
2,Construction,Jet,5,1.73,131,Outdoor
3,Construction,Jet,4,1.9,241,Outdoor
4,Construction,Jet,5,0.76,115,Outdoor
5,Construction,Jet,4,2.08,154,Outdoor
6,Construction,Jet,5,1.66,156,Outdoor
7,Construction,Jet,5,1.57,161,Outdoor
8,Construction,Jet,4,1.36,110,Outdoor
9,Construction,Jet,5,2.03,159,Outdoor
10,Construction,Jet,4,0.87,154,Outdoor
,,,,,,
1,Printer,Classic,4,1.01,80,Outdoor
2,Printer,Classic,4,1.35,87,Outdoor
3,Printer,Classic,4,2.58,131,Outdoor
4,Printer,Classic,4,2.1,79,Outdoor
5,Printer,Classic,5,0.73,33,Outdoor
6,Printer,Classic,5,1.98,112,Outdoor
7,Printer,Classic,5,2.53,113,Outdoor
8,Printer,Classic,4,1.71,91,Outdoor
9,Printer,Classic,4,2.63,85,Outdoor
10,Printer,Classic,4,2.1,164,Outdoor
,,,,,,
1,Construction,Jet,5,1.41,112,Indoor
2,Construction,Jet,5,1.35,158,Indoor
3,Construction,Jet,4,1.25,158,Indoor
4,Construction,Jet,5,1.9,120,Indoor
5,Construction,Jet,4,1.49,110,Indoor
6,Construction,Jet,5,1.29,164,Indoor
7,Construction,Jet,5,1.96,161,Indoor
8,Construction,Jet,4,1.74,166,Indoor
9,Construction,Jet,5,1.42,163,Indoor
10,Construction,Jet,4,2.05,145,Indoor
,,,,,,
1,Printer,Jet,5,1.45,202,Indoor
2,Printer,Jet,5,1.09,268,Indoor
3,Printer,Jet,6,1.41,217,Indoor
4,Printer,Jet,5,1.15,274,Indoor
5,Printer,Jet,5,2.02,169,Indoor
6,Printer,Jet,5,1.62,249,Indoor
7,Printer,Jet,5,1.09,212,Indoor
8,Printer,Jet,5,1.99,210,Indoor
9,Printer,Jet,5,1.96,288,Indoor
10,Printer,Jet,5,2.21,230,Indoor
,,,,,,
1,Printer,Classic,4,1.61,81,Indoor
2,Printer,Classic,4,2.01,77,Indoor
3,Printer,Classic,4,2.06,99,Indoor
4,Printer,Classic,4,0.7,123,Indoor
5,Printer,Classic,5,1.41,146,Indoor
6,Printer,Classic,5,1.95,85,Indoor
7,Printer,Classic,5,2.58,120,Indoor
8,Printer,Classic,4,2.72,83,Indoor
9,Printer,Classic,4,2.73,161,Indoor
10,Printer,Classic,4,1.11,219,Indoor
,,,,,,
1,Construction,Classic,6,2,140,Indoor
2,Construction,Classic,5,1.98,60,Indoor
3,Construction,Classic,5,1.08,71,Indoor
4,Construction,Classic,4,2.33,85,Indoor
5,Construction,Classic,4,2.46,21,Indoor
6,Construction,Classic,4,2.99,130,Indoor
7,Construction,Classic,5,2.59,112,Indoor
8,Construction,Classic,5,2.12,93,Indoor
9,Construction,Classic,6,1.62,141,Indoor
10,Construction,Classic,4,2.74,93,Indoor
